0,1,2,3,4,5
Date,"App
Version",Crash,"Crash per 1000
devices","ANR
","ANR per 1000
devices"
"Sep 8, 2020",v2.2.2,"3,001",5.77,223,0.43
"Sep 9, 2020",v2.2.2,"3,035",5.85,218,0.42
"Sep 10, 2020",v2.2.2,"27,933",54.22,202,0.39
"Sep 11, 2020",v2.2.2,"15,646",31.35,200,0.40
"Sep 12, 2020",v2.2.3,659,10.40,17,0.27
"Sep 13, 2020",v2.2.3,859,8.22,33,0.32
"Sep 14, 2020",v2.2.3,"1,013",7.64,52,0.39
"Sep 15, 2020",v2.2.3,"1,210",7.86,58,0.38
"Sep 16, 2020",v2.2.3,"1,255",7.45,72,0.43
"Sep 17, 2020",v2.2.3,"1,490",7.93,94,0.50
"Sep 18, 2020",v2.2.3,"1,642",8.26,87,0.44
"Sep 19, 2020",v2.2.3,"1,824",8.81,102,0.49
"Sep 20, 2020",v2.2.3,"1,731",8.09,80,0.37
"Sep 21, 2020",v2.2.3,"1,432",6.52,81,0.37
"Sep 22, 2020",v2.2.3,"1,406",6.25,93,0.41
"Sep 23, 2020",v2.2.3,"1,500",6.53,91,0.40
"Sep 24, 2020",v2.2.3,"1,394",5.95,94,0.40
"Sep 25, 2020",v2.2.3,"1,515",6.34,81,0.34
"Sep 26, 2020",v2.2.3,"1,491",6.14,84,0.35
"Sep 27, 2020",v2.2.3,"1,504",6.09,90,0.36
"Sep 28, 2020",v2.2.3,"1,585",6.32,100,0.40
"Sep 29, 2020",v2.2.3,"1,537",6.05,113,0.44
"Sep 30, 2020",v2.2.3,"1,394",5.41,128,0.50
"Oct 1, 2020",v2.2.3,"1,568",6.00,110,0.42
"Oct 2, 2020",v2.2.3,"1,607",6.07,90,0.34
"Oct 3, 2020",v2.2.3,"1,648",6.15,110,0.41
"Oct 4, 2020",v2.2.3,"1,499",5.52,107,0.39
"Oct 5, 2020",v2.2.3,"1,511",5.50,102,0.37
"Oct 6, 2020",v2.2.3,"1,567",5.65,100,0.36
"Oct 7, 2020",v2.2.3,"1,565",5.59,102,0.36
"Oct 8, 2020",v2.2.3,"1,664",5.86,108,0.38
"Oct 9, 2020",v2.2.3,"1,593",5.55,145,0.51
"Oct 10, 2020",v2.2.3,"1,528",5.27,127,0.44
"Oct 11, 2020",v2.2.3,"1,437",4.91,124,0.42
"Oct 12, 2020",v2.2.3,"1,681",5.66,134,0.45
"Oct 13, 2020",v2.2.3,"2,497",8.17,133,0.44
"Oct 14, 2020",v2.2.3,"2,709",8.70,148,0.48
"Oct 15, 2020",v2.2.3,"3,061",9.48,156,0.48
"Oct 16, 2020",v2.2.3,"3,359",10.23,169,0.52
"Oct 17, 2020",v2.2.3,"2,956",8.86,126,0.38
"Oct 18, 2020",v2.2.3,"2,543",7.54,160,0.47
"Oct 19, 2020",v2.2.3,"2,918",8.52,151,0.44
"Oct 20, 2020",v2.2.3,"3,106",8.97,142,0.41
"Oct 21, 2020",v2.2.3,"3,852",11.03,176,0.50
"Oct 22, 2020",v2.2.3,"2,929",8.29,154,0.44
"Oct 23, 2020",v2.2.3,"2,492",7.04,135,0.38
"Oct 24, 2020",v2.2.3,"3,078",8.56,148,0.41
"Oct 25, 2020",v2.2.3,"2,774",7.65,151,0.42
"Oct 26, 2020",v2.2.3,"2,678",7.35,144,0.40
"Oct 27, 2020",v2.2.3,"2,566",6.97,126,0.34
"Oct 28, 2020",v2.2.3,"2,570",6.94,149,0.40
"Oct 29, 2020",v2.2.3,"2,245",6.04,169,0.46
"Oct 30, 2020",v2.2.3,"2,229",5.97,131,0.35
"Oct 31, 2020",v2.2.3,"2,453",6.53,123,0.33
"Nov 1, 2020",v2.2.3,"2,714",7.15,149,0.39
"Nov 2, 2020",v2.2.3,"2,449",6.44,146,0.38
"Nov 3, 2020",v2.2.3,"2,392",6.26,117,0.31
"Nov 4, 2020",v2.2.3,"2,169",5.67,143,0.37
"Nov 5, 2020",v2.2.3,"2,415",6.30,167,0.44
"Nov 6, 2020",v2.2.3,"2,317",6.03,135,0.35
"Nov 7, 2020",v2.2.3,"2,496",6.47,137,0.36
"Nov 8, 2020",v2.2.3,"2,267",5.85,120,0.31
"Nov 9, 2020",v2.2.3,"2,343",6.03,131,0.34
"Nov 10, 2020",v2.2.3,"2,057",5.26,152,0.39
"Nov 11, 2020",v2.2.3,"1,597",4.09,164,0.42
"Nov 12, 2020",v2.2.3,"1,872",4.77,134,0.34
"Nov 13, 2020",v2.2.3,"2,242",5.66,130,0.33
"Nov 14, 2020",v2.2.3,"2,140",5.38,157,0.40
"Nov 15, 2020",v2.2.3,"1,992",5.00,133,0.33
"Nov 16, 2020",v2.2.3,"2,461",6.12,128,0.32
"Nov 17, 2020",v2.2.3,"2,704",6.65,147,0.36
"Nov 18, 2020",v2.2.3,"2,743",6.71,157,0.38
"Nov 19, 2020",v2.2.3,"2,871",6.95,186,0.45
"Nov 20, 2020",v2.2.3,"2,504",6.01,178,0.43
"Nov 21, 2020",v2.2.3,"2,802",6.66,158,0.38
"Nov 22, 2020",v2.2.3,"2,541",5.99,139,0.33
"Nov 23, 2020",v2.2.3,"2,503",5.87,221,0.52
"Nov 24, 2020",v2.2.3,"2,366",5.52,152,0.36
"Nov 25, 2020",v2.2.3,"2,232",5.18,154,0.36
"Nov 26, 2020",v2.2.3,"2,367",5.46,171,0.39
"Nov 27, 2020",v2.2.3,"2,402",5.51,170,0.39
"Nov 28, 2020",v2.2.3,"2,494",5.68,210,0.48
"Nov 29, 2020",v2.2.3,"2,381",5.38,148,0.33
"Nov 30, 2020",v2.2.3,"2,247",5.06,139,0.31
"Dec 1, 2020",v2.2.3,"2,344",5.26,151,0.34
"Dec 2, 2020",v2.2.3,"2,568",5.73,170,0.38
"Dec 3, 2020",v2.2.3,"2,540",5.65,179,0.40
"Dec 4, 2020",v2.2.3,"2,289",5.08,165,0.37
"Dec 5, 2020",v2.2.3,"2,298",5.09,174,0.39
"Dec 6, 2020",v2.2.3,"2,390",5.28,188,0.42
"Dec 7, 2020",v2.2.3,"3,035",6.71,214,0.47
"Dec 8, 2020",v2.2.3,"2,852",6.27,199,0.44
"Dec 9, 2020",v2.2.3,"3,026",6.63,180,0.40
"Dec 10, 2020",v2.2.3,"2,777",6.07,178,0.39
"Dec 11, 2020",v2.2.3,"2,580",5.63,216,0.47
"Dec 12, 2020",v2.2.3,"2,654",5.77,172,0.37
"Dec 13, 2020",v2.2.3,"2,710",5.89,152,0.33
"Dec 14, 2020",v2.2.3,"2,659",5.77,159,0.35
"Dec 15, 2020",v2.2.3,"2,719",5.89,164,0.36
"Dec 16, 2020",v2.2.3,"2,766",5.98,192,0.42
"Dec 17, 2020",v2.2.3,"2,850",6.14,187,0.40
"Dec 18, 2020",v2.2.3,"2,707",5.81,183,0.39
"Dec 19, 2020",v2.2.3,"2,619",5.61,176,0.38
"Dec 20, 2020",v2.2.3,"2,348",5.01,193,0.41
"Dec 21, 2020",v2.2.3,"2,313",4.91,148,0.31
"Dec 22, 2020",v2.2.3,"2,582",5.44,162,0.34
"Dec 23, 2020",v2.2.3,"2,657",5.55,134,0.28
"Dec 24, 2020",v2.2.3,"2,787",5.78,161,0.33
"Dec 25, 2020",v2.2.3,"2,570",5.31,171,0.35
"Dec 26, 2020",v2.2.3,"2,363",4.86,142,0.29
"Dec 27, 2020",v2.2.3,"2,291",4.70,190,0.39
"Dec 28, 2020",v2.2.3,"2,769",5.65,194,0.40
"Dec 29, 2020",v2.2.3,"3,326",6.70,178,0.36
